region,actual_2025_m,predicted_2025_m,shortfall_pct,r_squared,annual_growth_m
West Midlands,85.1,125.7,-32.3,0.9906841976801225,4.3
East of England,173.4,232.4,-25.4,0.9934675698625319,6.08
Scotland,89.4,119.3,-25,0.972824604461543,2.53
South East,279.3,352.5,-20.8,0.9305915172537473,6.06
Yorkshire and the Humber,72,87.6,-17.8,0.9496899798835716,1.96
North West,131.4,159.3,-17.5,0.9748783391592697,3.49
London,1008.7,1207.5,-16.5,0.9340578911432766,35.55
Wales,30,34.8,-13.7,0.9649533348351131,0.54
East Midlands,36.4,42.1,-13.5,0.986307368993607,0.95
South West,55.7,61.8,-10,0.9265059885857545,1.32
North East,19.1,18.2,4.8,0.9862116810162769,0.33
