year,journeys_total,series_break
1996,589499235,FALSE
1997,627917352,FALSE
1998,671119104,FALSE
1999,704997403,FALSE
2000,747560451,FALSE
2001,755077288,FALSE
2002,758628005,FALSE
2003,775315152,FALSE
2004,791394982,FALSE
2005,808484154,FALSE
2006,827394793,FALSE
2007,984035472,TRUE
2008,1018053317,FALSE
2009,1074162655,TRUE
2010,1065391774,FALSE
2011,1160428911,FALSE
2012,1228018406,FALSE
2013,1269039604,FALSE
2014,1332634397,FALSE
2015,1392600629,FALSE
2016,1463777211,FALSE
2017,1469675456,FALSE
2018,1476115531,FALSE
2019,1519718328,FALSE
2020,1503572026,FALSE
2021,343866394,FALSE
2022,894239065,FALSE
2023,1228454360,TRUE
2024,1426858010,FALSE
2025,1532305654,FALSE
