year,region,journeys_total,journeys_within,journeys_interregional,series_break,baseline_journeys,index_2019
1996,East Midlands,14468747,4430277,10038470,FALSE,36402910,39.746127438713
1997,East Midlands,15479450,4762567,10716883,FALSE,36402910,42.52256206990045
1998,East Midlands,16947818,5173443,11774375,FALSE,36402910,46.55621762106381
1999,East Midlands,18298683,5801842,12496841,FALSE,36402910,50.267088537702065
2000,East Midlands,19719650,6254155,13465495,FALSE,36402910,54.170531971207794
2001,East Midlands,19813952,6460932,13353020,FALSE,36402910,54.42958268995528
2002,East Midlands,20763716,6633048,14130668,FALSE,36402910,57.038615868896194
2003,East Midlands,21734473,6945921,14788552,FALSE,36402910,59.70531751445145
2004,East Midlands,23002988,7131655,15871333,FALSE,36402910,63.18997025237818
2005,East Midlands,23167253,7021312,16145941,FALSE,36402910,63.641211650387284
2006,East Midlands,23742533,7139915,16602618,FALSE,36402910,65.22152487259947
2007,East Midlands,25218349,7470008,17748341,FALSE,36402910,69.27564032655631
2008,East Midlands,26013282,7585204,18428078,FALSE,36402910,71.45934761808877
2009,East Midlands,27464252,7893060,19571192,TRUE,36402910,75.44521028676004
2010,East Midlands,27802066,8264300,19537766,FALSE,36402910,76.3731965384086
2011,East Midlands,29041963,8231938,20810025,FALSE,36402910,79.77923468206251
2012,East Midlands,30116524,8427762,21688762,FALSE,36402910,82.73108935521914
2013,East Midlands,30518497,8237033,22281464,FALSE,36402910,83.83532250581067
2014,East Midlands,30822048,8130922,22691126,FALSE,36402910,84.66918716113629
2015,East Midlands,32385686,8794746,23590940,FALSE,36402910,88.96455255912234
2016,East Midlands,33637139,9150407,24486732,FALSE,36402910,92.40233541769051
2017,East Midlands,34768542,9394182,25374360,FALSE,36402910,95.51033694833737
2018,East Midlands,35466425,9675169,25791256,FALSE,36402910,97.42744467406588
2019,East Midlands,36402910,9990970,26411940,FALSE,36402910,100
2020,East Midlands,35876553,10066109,25810444,FALSE,36402910,98.55407987987773
2021,East Midlands,7081190,2359416,4721774,FALSE,36402910,19.45226356903885
2022,East Midlands,24103052,7193816,16909236,FALSE,36402910,66.21188251159042
2023,East Midlands,29932763,8079709,21853054,TRUE,36402910,82.22629179919957
2024,East Midlands,32615884,8820224,23795660,FALSE,36402910,89.59691409285686
2025,East Midlands,36384352,10179812,26204540,FALSE,36402910,99.94902055907069
1996,East of England,78832121,12162973,66669148,FALSE,193737951,40.69007677282599
1997,East of England,87301094,12661644,74639450,FALSE,193737951,45.06143145903303
1998,East of England,94249200,13787831,80461369,FALSE,193737951,48.647773713679875
1999,East of England,100220532,15130565,85089967,FALSE,193737951,51.72994319528031
2000,East of England,108557897,16578564,91979333,FALSE,193737951,56.033366947294695
2001,East of England,111154665,17496428,93658237,FALSE,193737951,57.37371765638215
2002,East of England,113973480,18843703,95129777,FALSE,193737951,58.82868039623275
2003,East of England,117534795,19544062,97990733,FALSE,193737951,60.666892776211924
2004,East of England,121625489,20516011,101109478,FALSE,193737951,62.7783500198162
2005,East of England,124008975,21171531,102837444,FALSE,193737951,64.008612850458
2006,East of England,126299408,22176312,104123096,FALSE,193737951,65.19084533933159
2007,East of England,137674470,24038281,113636189,TRUE,193737951,71.06221021197855
2008,East of England,146019851,26391864,119627987,FALSE,193737951,75.36977151162293
2009,East of England,145716907,27581475,118135432,FALSE,193737951,75.21340359380595
2010,East of England,139442542,26842227,112600315,FALSE,193737951,71.97482025604782
2011,East of England,148134085,28053164,120080921,FALSE,193737951,76.46105692528977
2012,East of England,153084052,28730604,124353448,FALSE,193737951,79.01603749282968
2013,East of England,159253703,29939931,129313772,FALSE,193737951,82.20057153386536
2014,East of England,165205285,30660313,134544972,FALSE,193737951,85.27254683311892
2015,East of England,172664647,31531197,141133450,FALSE,193737951,89.12277956320493
2016,East of England,180028674,32695450,147333224,FALSE,193737951,92.9238040718207
2017,East of England,185466699,33983429,151483270,FALSE,193737951,95.73070120887157
2018,East of England,188536071,34634201,153901870,FALSE,193737951,97.31499173334397
2019,East of England,193737951,35252015,158485936,FALSE,193737951,100
2020,East of England,186405291,34221795,152183496,FALSE,193737951,96.21516591759557
2021,East of England,39609133,12247625,27361508,FALSE,193737951,20.444694906471884
2022,East of England,106757808,27645120,79112688,FALSE,193737951,55.104230972278636
2023,East of England,144353774,31007700,113346074,TRUE,193737951,74.50980732215962
2024,East of England,162785386,32309922,130475464,FALSE,193737951,84.02348902719633
2025,East of England,173394960,35194846,138200114,FALSE,193737951,89.49973874762411
1996,London,378888397,200694033,178194364,FALSE,959746065,39.477983897751116
1997,London,405806254,211300004,194506250,FALSE,959746065,42.282669218341624
1998,London,433693914,222936482,210757432,FALSE,959746065,45.18840241350716
1999,London,457850737,235086017,222764720,FALSE,959746065,47.7054039289028
2000,London,483952631,245428338,238524293,FALSE,959746065,50.4250706149027
2001,London,491685463,247526657,244158806,FALSE,959746065,51.23078707282848
2002,London,493068348,246725464,246342884,FALSE,959746065,51.37487570735703
2003,London,505346458,253260736,252085722,FALSE,959746065,52.6541838960288
2004,London,502013645,243866346,258147299,FALSE,959746065,52.30692401953219
2005,London,502774512,237557597,265216915,FALSE,959746065,52.38620196895519
2006,London,502424737,231426825,270997912,FALSE,959746065,52.349757432972645
2007,London,641492614,342753383,298739231,TRUE,959746065,66.83982747040488
2008,London,653099513,332902112,320197401,FALSE,959746065,68.04919934732943
2009,London,639347588,318625180,320722408,FALSE,959746065,66.61632814300728
2010,London,632228180,316935475,315292705,FALSE,959746065,65.87452692499448
2011,London,706259248,371713406,334545843,FALSE,959746065,73.58813687868572
2012,London,752225508,403750534,348474974,FALSE,959746065,78.3775558381685
2013,London,787471288,429327496,358143792,FALSE,959746065,82.04996266382192
2014,London,834527712,464320512,370207200,FALSE,959746065,86.95297041931607
2015,London,878042345,492211989,385830356,FALSE,959746065,91.48694399700405
2016,London,934587926,537369482,397218444,FALSE,959746065,97.37866713733283
2017,London,930458850,526064940,404393910,FALSE,959746065,96.9484412525307
2018,London,926517428,518911364,407606064,FALSE,959746065,96.53776783132734
2019,London,959746065,539157867,420588198,FALSE,959746065,100
2020,London,940480157,534959837,405520320,FALSE,959746065,97.99260359561882
2021,London,214470159,148709693,65760466,FALSE,959746065,22.346552574820926
2022,London,532324805,322224963,210099842,FALSE,959746065,55.46517192545093
2023,London,800499045,497429009,303070036,TRUE,959746065,83.40737974268225
2024,London,951909216,607021080,344888136,FALSE,959746065,99.1834455710949
2025,London,1008669424,638183452,370485972,FALSE,959746065,105.09753160592537
1996,North East,7564665,3268486,4296179,FALSE,16256412,46.533423242471954
1997,North East,8032264,3504229,4528035,FALSE,16256412,49.40982056803186
1998,North East,8662088,3740695,4921393,FALSE,16256412,53.284131824414885
1999,North East,9122453,3864677,5257776,FALSE,16256412,56.11602978566243
2000,North East,9577186,4049227,5527959,FALSE,16256412,58.91328295567312
2001,North East,8843394,3831092,5012302,FALSE,16256412,54.39942097924192
2002,North East,9246165,3721162,5525003,FALSE,16256412,56.87703412044429
2003,North East,8987980,3406101,5581879,FALSE,16256412,55.28883003211287
2004,North East,10074282,3973849,6100433,FALSE,16256412,61.971128684484626
2005,North East,10619257,4277186,6342071,FALSE,16256412,65.32349819874152
