region,log_journeys_2019,interregional_share_2019,cagr_2010_2019,recovery_gap
East Midlands,7.561136101957514,72.554474353836,3.040168238223573,-0.1
East of England,8.287214702265164,81.80428005042751,3.721508268743734,-10.5
London,8.982156340167103,43.822862456852064,4.747218403350506,5.1
North East,7.211024697435712,63.8979868374399,2.392706440478465,17.4
North West,8.13622778823995,29.256695982076437,2.867975882302942,-4
Scotland,8.008385279086013,9.73187697106084,2.7598833864967087,-12.3
South East,8.49731359932261,72.8580705898201,2.422359951347408,-11.1
South West,7.717169052761997,49.70752552135689,2.937189107359117,6.7
Wales,7.49264079495243,30.42246648168755,1.9874135277606397,-3.4
West Midlands,8.0041448853688415,34.26774664605314,5.676921824848713,-15.7
Yorkshire and the Humber,7.865607777927823,40.01315471737368,3.0710397708492376,-1.9
